TargetSendRate,meanSucc,stdSucc,meanFail,stdFail,meanSendRate,stdSendRate,meanMaxLatency,stdMaxLatency,meanMinLatency,stdMinLatency,meanAvgLatency,stdAvgLatency,meanThroughput,stdThroughput,meanDropRatio,stdDropRatio
1.0,192.0,0.0,0.0,0.0,2.0,0.0,0.641,0.009944289260117539,0.161,0.04148627617792553,0.41899999999999993,0.012866839377079203,2.0,0.0,0.0,0.0
2.0,192.0,0.0,0.0,0.0,4.0,0.0,0.638,0.012292725943057192,0.192,0.03994440581052065,0.42699999999999994,0.011595018087284071,4.0,0.0,0.0,0.0
4.0,288.0,0.0,0.0,0.0,5.96,0.051639777949432066,0.638,0.006324555320336757,0.182,0.04613988392799541,0.42000000000000004,0.014907119849998582,5.9,0.0,0.0,0.0
8.0,384.0,0.0,0.0,0.0,10.559999999999999,0.051639777949431656,0.637,0.011595018087284073,0.174,0.03596294389136314,0.40599999999999997,0.013498971154211043,10.5,0.0,0.0,0.0
16.0,576.0,0.0,0.0,0.0,18.939999999999998,0.05163977794943262,0.63,0.011547005383792544,0.162,0.026997942308422118,0.395,0.01080123449734643,18.8,0.0,0.0,0.0
32.0,1056.0,0.0,0.0,0.0,34.75,0.07071067811865268,0.636,0.01955050439815358,0.174,0.049933288829530666,0.396,0.021705094128132946,34.510000000000005,0.03162277660168319,0.0,0.0
64.0,2016.0,0.0,0.0,0.0,66.34,0.09660917830793093,0.64,0.01414213562373098,0.172,0.04417138339593985,0.397,0.0156702123647242,65.97,0.04830458915396183,0.0,0.0
128.0,3936.0,0.0,0.0,0.0,129.59,0.17919573407621184,0.64,0.016329931618554543,0.179,0.040124805295477746,0.404,0.015776212754932285,128.76,0.05163977794943384,0.0,0.0
256.0,7776.0,0.0,0.0,0.0,255.70999999999998,0.4557045826702576,0.646,0.011737877907772672,0.07,0.0,0.331,0.003162277660168381,252.4,1.4824903971958032,0.0,0.0
512.0,15456.0,0.0,0.0,0.0,507.83000000000004,0.923820569398849,1.0,0.09153020145163987,0.093,0.004830458915396484,0.366,0.005163977794943238,500.63,0.33681514877517504,0.0,0.0
1024.0,30816.0,0.0,0.0,0.0,1012.36,4.244787653372341,1.918,0.131892211883627,0.175,0.03439961240091715,0.507,0.009486832980505143,1000.55,8.2778486201294,0.0,0.0
2048.0,43392.4,2594.3692104247616,16780.2,3274.659704118548,1951.81,40.542582552175936,28.722,1.8171516172295585,0.591,0.07340148348485727,17.549,2.06343537712126,1536.3200000000002,61.25964413869876,0.2782773099611221,0.05118350771946592
4096.0,41975.8,11501.056365008872,64951.4,15782.911526922613,3466.4300000000003,273.4242615017509,42.279,4.658133746469716,0.634,0.11701851705321398,28.713,2.377281594127581,2126.8,255.21757166952455,0.6035295912962675,0.11399978521908964
8192.0,50336.5,17066.089301757318,61169.6,20213.27387414298,3622.06,353.7440794950182,46.227,6.768897907997203,0.726,0.26060613107821456,31.272000000000002,4.361084982228876,2025.2099999999998,283.549922902084,0.5445549289013396,0.15030784476182904
16384.0,47454.7,14248.284053020405,61080.5,27146.215935395325,3489.0699999999997,585.561476134943,45.531,5.2888697595359,0.8230000000000001,0.24467892793981624,30.054000000000002,3.114322469566125,2028.1299999999999,375.6884792543476,0.5428601077030462,0.17160893711625064
